Time,Source,Destiny,SrcPort,DstPort,Protocol,Frame,Ack,Payload
1.099389,192.168.121.10,192.168.122.20,46246,9000,TCP,2,,46246 > 9000 [SYN] Seq=0 Win=29200 Len=0 MSS=1460 SACK_PERM=1 TSval=646876 TSecr=0 WS=128
1.099803,192.168.121.10,192.168.122.20,46246,9000,TCP,6,5,46246 > 9000 [ACK] Seq=1 Ack=1 Win=29312 Len=0 TSval=646876 TSecr=856434
1.101882,192.168.121.10,192.168.122.20,46246,9000,TCP,7,,"46246 > 9000 [PSH, ACK] Seq=1 Ack=1 Win=29312 Len=1 TSval=646876 TSecr=856434"
1.102456,192.168.121.10,192.168.122.20,46246,9000,TCP,10,9,46246 > 9000 [ACK] Seq=2 Ack=2 Win=29312 Len=0 TSval=646877 TSecr=856435
1.102648,192.168.121.10,192.168.122.20,46246,9000,TCP,11,,"46246 > 9000 [PSH, ACK] Seq=2 Ack=2 Win=29312 Len=201 TSval=646877 TSecr=856435"
1.103978,192.168.121.10,192.168.122.20,46246,9000,TCP,13,12,"46246 > 9000 [PSH, ACK] Seq=203 Ack=3 Win=29312 Len=27 TSval=646877 TSecr=856435"
1.142255,192.168.121.10,192.168.122.20,46246,9000,TCP,61,14,46246 > 9000 [ACK] Seq=230 Ack=10 Win=29312 Len=0 TSval=646887 TSecr=856435
11.283057,192.168.121.10,192.168.122.20,46246,9000,TCP,2099,,"46246 > 9000 [PSH, ACK] Seq=230 Ack=10 Win=29312 Len=5 TSval=649422 TSecr=856435"
11.486315,192.168.121.10,192.168.122.20,46246,9000,TCP,2109,,"[TCP Retransmission] 46246 > 9000 [PSH, ACK] Seq=230 Ack=10 Win=29312 Len=5 TSval=649473 TSecr=856435"
12.283863,192.168.121.10,192.168.122.20,46246,9000,TCP,2144,2143,46246 > 9000 [ACK] Seq=235 Ack=15 Win=29312 Len=0 TSval=649672 TSecr=859230
12.283915,192.168.121.10,192.168.122.20,46246,9000,TCP,2145,,"46246 > 9000 [PSH, ACK] Seq=235 Ack=15 Win=29312 Len=1 TSval=649672 TSecr=859230"
12.284300,192.168.121.10,192.168.122.20,46246,9000,TCP,2148,2147,"46246 > 9000 [FIN, ACK] Seq=236 Ack=16 Win=29312 Len=0 TSval=649672 TSecr=859230"
12.285048,192.168.121.10,192.168.122.20,46246,9000,TCP,2150,2149,46246 > 9000 [ACK] Seq=237 Ack=17 Win=29312 Len=0 TSval=649672 TSecr=859230
